major_support,parent_major_support
Neuroscience,Behavior science
Cell,Molecular bioscience
Data science,Data science
Mathematics,Applied math and computation
Biogeochemistry,Environmental Science
Environmental science,Environmental science
Climate,Environmental science
Genetics,Molecular bioscience
Computer science,Applied math and computation
Chemistry,Materials science
Biology,Global health
Physics,Molecular bioscience
Biophysics,Molecular bioscience
Psychology,Behavior science
Global health,Global health
Materials science,Environmental science
