area,subfield,faculty,url
"Biological, behavioral sciences and health",Biology,Yiu Wing Kam,https://faculty.dukekunshan.edu.cn/faculty_profiles/yiu-wing-jason-kam
"Biological, behavioral sciences and health",Green & sustainable science & technology,Ka Leung Lam,https://faculty.dukekunshan.edu.cn/faculty_profiles/ka-leung-lam
"Biological, behavioral sciences and health",Green & sustainable science & technology,William Winner,https://faculty.dukekunshan.edu.cn/faculty_profiles/william-winner
"Biological, behavioral sciences and health",Molecular biology,Anastasia Tsigkou,https://faculty.dukekunshan.edu.cn/faculty_profiles/anastasia-tsigkou
"Biological, behavioral sciences and health",Molecular biology,Eunyu Kim,https://faculty.dukekunshan.edu.cn/faculty_profiles/eunyu-kim
"Biological, behavioral sciences and health",Molecular biology,Ferdinand Kappes,https://faculty.dukekunshan.edu.cn/faculty_profiles/ferdinand-kappes
"Biological, behavioral sciences and health",Molecular biology,Huansheng Cao,https://faculty.dukekunshan.edu.cn/faculty_profiles/huansheng-cao
"Biological, behavioral sciences and health",Molecular biology,Hyun-Min Kim,https://faculty.dukekunshan.edu.cn/faculty_profiles/hyun-min-kim
"Biological, behavioral sciences and health",Molecular biology,Jianbo Yue,https://faculty.dukekunshan.edu.cn/faculty_profiles/jianbo-yue
"Biological, behavioral sciences and health",Molecular biology,Joohyun Lee,https://faculty.dukekunshan.edu.cn/faculty_profiles/joohyun-lee
"Biological, behavioral sciences and health",Molecular biology,Linfeng Huang,https://faculty.dukekunshan.edu.cn/faculty_profiles/linfeng-huang
"Biological, behavioral sciences and health",Molecular biology,Xiangdong Gao,https://scholars.duke.edu/person/Xiangdong.Gao
"Biological, behavioral sciences and health",Molecular biology,Xianzhi Lin,https://faculty.dukekunshan.edu.cn/faculty_profiles/xianzhi-lin
"Biological, behavioral sciences and health",Neurosciences,Pedro Rada,https://faculty.dukekunshan.edu.cn/faculty_profiles/pedro-rada
"Biological, behavioral sciences and health",Neurosciences,Sze Chai Kwok,https://faculty.dukekunshan.edu.cn/faculty_profiles/sze-chai-kwok
"Biological, behavioral sciences and health","Psychology, biological",Eric Chen,https://faculty.dukekunshan.edu.cn/faculty_profiles/chia-chien-eric-chen
"Biological, behavioral sciences and health","Psychology, biological",Shan Wang,https://faculty.dukekunshan.edu.cn/faculty_profiles/shan-wang
Data and computer sciences,Artificial intelligence,Bing Luo,https://faculty.dukekunshan.edu.cn/faculty_profiles/bing-luo
Data and computer sciences,Artificial intelligence,Feng Tian,https://faculty.dukekunshan.edu.cn/faculty_profiles/feng-tian/
Data and computer sciences,Artificial intelligence,Kaizhu Huang,https://faculty.dukekunshan.edu.cn/faculty_profiles/kaizhu-huang
Data and computer sciences,Artificial intelligence,Ming Li,https://faculty.dukekunshan.edu.cn/faculty_profiles/ming-li
Data and computer sciences,Artificial intelligence,Ming-chun Huang,https://faculty.dukekunshan.edu.cn/faculty_profiles/ming-chun-huang
Data and computer sciences,Artificial intelligence,Mustafa Misir,https://faculty.dukekunshan.edu.cn/faculty_profiles/mustafa-misir
Data and computer sciences,Computer communication,Peng Sun,https://faculty.dukekunshan.edu.cn/faculty_profiles/peng-sun
Data and computer sciences,"Computer science, artificial intelligence",Miao Xiaoxiao,https://faculty.dukekunshan.edu.cn/faculty_profiles/xiaoxiao-miao
Data and computer sciences,"Computer science, artificial intelligence",Yucheng Jin,https://faculty.dukekunshan.edu.cn/faculty_profiles/yucheng-jin
Data and computer sciences,Data mining,Pengzhan Guo,https://faculty.dukekunshan.edu.cn/faculty_profiles/pengzhan-guo
Data and computer sciences,Software engineering,Jiang Long,https://faculty.dukekunshan.edu.cn/faculty_profiles/jiang-long
Environmental science and sustainability,Environmental science,Chi-Yeung(Jimmy) Choi,https://faculty.dukekunshan.edu.cn/faculty_profiles/chi-yeung-jimmy-choi
